sku,active,marketplace_id,amazon_marketplace_id,fba_offers,mf_offers,fba_buy_box_eligible,mf_buy_box_eligible,lowest_landed_fba,lowest_landed_mf,buy_box_a_landed,buy_box_b_landed,current_quantity,cost,min_price,auto_min_price,max_price,auto_max_price,manual_price,current_price,current_shipping,fulfillment_type,currency,map_price,asin,condition,featured,has_buy_box,is_buy_box_winner,offer_position,display_group_rank,note
TH-77NR-VUGK,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,12,0,0,16.5,19.87,16.56,,9,5.69,7.19,14.93,,,,16.56,0.0,fba,USD,,B07N4HFFDP,new_new,True,True,False,3,190039,
0B-GHAY-RRZB,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,11,7,11,6,21.22,20.17,20.17,21.22,0,10.32,1.0,20.44,,,,22.98,0.0,fba,USD,,B07766PLWB,new_new,False,True,False,0,16482,
LW-I4LZ-BR2O,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,39,23,10,5,21.76,24.03,25.85,,0,12.0,,21.97,,,,32.96,0.0,fba,USD,,B07ZK39HVP,new_new,False,True,False,0,26850,
DH-NHRJ-54M4,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,35,12,16,4,22.63,24.99,22.63,27.4,0,12.0,,21.97,,,,32.96,0.0,fba,USD,,B09XFDB61N,new_new,False,True,False,0,7850,
CQ-KUZH-BKDY,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,29,5,17,3,9.99,11.0,9.99,,4,5.44,,11.28,,,,11.5,0.0,fba,USD,,B0DBHT3W6T,new_new,True,True,False,13,31933,
1Q-CXIZ-1F3I,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,17,13,0,0,30.45,30.45,30.47,,0,16.85,,30.65,,,,38.31,0.0,fba,USD,,B092N1D95M,new_new,False,True,False,0,26342,
UC-F5NH-7FIW,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,25,2,19,1,14.23,17.59,14.23,17.01,31,9.89,,19.83,,,,19.86,0.0,fba,USD,,B00GN6P3DE,new_new,True,True,False,12,19256,
TD-WBUS-BROW,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,14,3,14,3,17.95,11.99,11.99,,5,8.49,,18.65,,,,18.7,0.0,fba,USD,,B08QLFD7WX,new_new,True,True,False,3,36552,
MP-WQQB-MX7G,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,29,7,0,0,7.61,13.5,,,29,5.22,,11.95,,,,11.95,0.0,fba,USD,,B0824D5FL3,new_new,True,False,False,2,78390,
FQ-0YDI-RDXL,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,42,16,10,10,17.21,17.29,17.29,19.1,0,7.91,,16.51,,,,22.16,0.0,fba,USD,,B07H37L9XM,new_new,False,True,False,0,39823,
FO-RTFC-PCPL,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,28,9,15,5,18.68,17.0,17.0,18.68,4,12.36,,21.04,,,,21.12,0.0,fba,USD,,B0CCZMBZYT,new_new,False,True,False,0,92012,
XA-O3ZL-H2ZT,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,10,2,10,2,9.69,12.99,9.99,,0,4.05,,8.9,,,,9.99,0.0,fba,USD,,B0BCXXP6Y9,new_new,False,True,False,0,83532,
SI-IBKV-UTAL,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,38,5,19,1,9.0,9.0,9.0,,20,4.05,,8.68,,,,9.0,0.0,fba,USD,,B0BCXTTY83,new_new,True,True,False,7,36836,
KY-TKZN-NV0M,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,0,1,0,0,,21.21,,,0,4.05,,8.9,,,,12.98,0.0,fba,USD,,B0BCXXBT7V,new_new,False,False,False,0,67613,
AV-QY8S-U4R9,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,26,1,19,1,8.39,13.99,8.39,,4,7.97,1.0,16.13,,,,8.39,0.0,fba,USD,,B09JS8N927,new_new,True,True,False,2,68896,
5K-PIIM-4ZHM,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,10,10,0,0,7.44,7.44,7.44,,0,3.89,7.0,8.74,,,,14.25,0.0,fba,USD,,B0B89ZZSBH,new_new,False,True,False,0,44708,
O6-LJUK-XUWJ,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,6,0,0,19.99,23.99,,,0,12.46,,24.19,,,,24.19,0.0,fba,USD,,B079KTRBDT,new_new,False,False,False,0,58532,
J5-JD3L-1XIN,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,51,21,15,5,13.63,14.18,13.63,,0,3.91,,11.1,,,,16.65,0.0,fba,USD,,B08XK3M9J1,new_new,False,True,False,0,9824,
EE-JDJH-9A2R,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,13,13,7,20.64,20.34,20.9,,10,10.49,,20.68,,,,20.9,0.0,fba,USD,,B0861S6JHV,new_new,True,True,False,4,66823,
96-JGF5-EBBY,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,22,2,18,2,9.35,9.35,9.35,,16,7.73,,14.59,,,,14.74,0.0,fba,USD,,B0829BJGKT,new_new,True,True,False,15,19914,
48-52CZ-5QNC,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,37,8,17,3,16.5,16.68,16.51,,18,8.32,1.0,16.2,,,,19.0,0.0,fba,USD,,B009SKX8MA,new_new,False,True,False,0,105803,
T6-RI0B-MIO3,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,11,0,0,0,14.2,,14.2,,31,4.5,,9.03,,,,14.2,0.0,fba,USD,,B06XZ3GZQM,new_new,True,True,False,3,47846,
SX-02LO-MLAZ,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,6,3,0,0,14.96,15.28,14.96,,51,3.5,,9.56,,,,14.96,0.0,fba,USD,,B00M3TAON4,new_new,True,True,False,1,35619,
